_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,1,CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,25.55B,21.03,41.00,-1.18%,"110,324"
2,2,LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,USA,21.58B,-,84.63,-0.83%,"750,457"
3,3,IMO,Imperial Oil Limited,Energy,Oil & Gas Integrated,Canada,19.03B,-,26.66,-2.67%,"360,015"
4,4,CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges,USA,12.33B,25.37,115.58,-2.07%,"503,340"
5,5,SEB,Seaboard Corporation,Industrials,Conglomerates,USA,4.57B,8.17,3977.82,0.86%,353
6,6,BTG,B2Gold Corp.,Basic Materials,Gold,Canada,4.21B,6.57,4.00,-0.99%,"6,177,591"
7,7,SIM,"Grupo Simec, S.A.B. de C.V.",Basic Materials,Steel,Mexico,3.97B,1.25,23.91,-1.93%,"3,400"
8,8,NG,NovaGold Resources Inc.,Basic Materials,Gold,Canada,2.59B,-,7.76,-0.51%,"492,539"
9,9,GSAT,"Globalstar, Inc.",Communication Services,Telecom Services,USA,2.52B,-,1.37,-2.84%,"5,732,641"
10,10,EQX,Equinox Gold Corp.,Basic Materials,Gold,Canada,2.03B,38.43,6.61,-0.60%,"1,419,080"
11,11,NXE,NexGen Energy Ltd.,Energy,Uranium,Canada,1.82B,-,3.87,-2.03%,"2,659,774"
12,12,PRK,Park National Corporation,Financial,Banks - Regional,USA,1.80B,12.25,110.74,-0.89%,"34,809"
13,13,MAG,MAG Silver Corp.,Basic Materials,Silver,Canada,1.78B,424.77,18.69,-1.53%,"298,342"
14,14,SENS,"Senseonics Holdings, Inc.",Healthcare,Diagnostics & Research,USA,1.29B,-,2.97,-0.67%,"10,556,467"
15,15,SILV,SilverCrest Metals Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,1.17B,-,8.10,0.50%,"585,483"
16,16,NHC,National HealthCare Corporation,Healthcare,Medical Care Facilities,USA,1.12B,12.75,74.62,-0.32%,"14,907"
17,17,NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas E&P,USA,1.12B,-,16.36,-4.05%,"537,116"
18,18,TMP,Tompkins Financial Corporation,Financial,Banks - Regional,USA,1.11B,11.83,75.69,-0.47%,"22,219"
19,19,NGD,New Gold Inc.,Basic Materials,Gold,Canada,1.09B,-,1.53,-1.29%,"3,310,495"
20,20,CCF,Chase Corporation,Basic Materials,Specialty Chemicals,USA,1.06B,24.72,112.68,0.17%,"8,317"
21,21,ORLA,Orla Mining Ltd.,Basic Materials,Gold,Canada,872.31M,-,3.67,-3.93%,"132,801"
22,22,SVM,Silvercorp Metals Inc.,Basic Materials,Silver,Canada,844.59M,18.36,4.81,-1.23%,"707,311"
23,23,DNN,Denison Mines Corp.,Energy,Uranium,Canada,841.69M,-,1.04,-2.80%,"3,052,365"
24,24,ANVS,"Annovis Bio, Inc.",Healthcare,Biotechnology,USA,802.52M,-,112.24,-1.98%,"540,891"
25,25,MCF,Contango Oil & Gas Company,Energy,Oil & Gas E&P,USA,780.69M,-,3.88,-1.52%,"1,293,432"
26,26,SLI,Standard Lithium Ltd.,Basic Materials,Other Industrial Metals & Mining,Canada,748.09M,-,5.33,-4.48%,"661,661"
27,27,UUUU,Energy Fuels Inc.,Energy,Uranium,USA,739.92M,-,5.04,-5.62%,"2,999,283"
28,28,MMX,Maverix Metals Inc.,Basic Materials,Other Precious Metals & Mining,Canada,690.17M,17.73,4.77,-1.45%,"148,209"
29,29,STXS,"Stereotaxis, Inc.",Healthcare,Medical Instruments & Supplies,USA,684.64M,-,9.18,-3.06%,"142,169"
30,30,ZOM,Zomedica Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,587.88M,-,0.60,-1.52%,"14,047,891"
31,31,NEWP,New Pacific Metals Corp.,Basic Materials,Other Precious Metals & Mining,Canada,578.42M,197.89,3.76,-0.79%,"156,324"
32,32,BTX,"Brooklyn ImmunoTherapeutics, Inc.",Healthcare,Biotechnology,USA,548.99M,-,10.59,-0.28%,"505,413"
33,33,ASXC,"Asensus Surgical, Inc.",Healthcare,Medical Devices,USA,544.10M,-,2.16,-3.14%,"7,522,444"
34,34,FSP,Franklin Street Properties Corp.,Real Estate,REIT - Office,USA,543.94M,20.28,5.15,-1.34%,"202,622"
35,35,UEC,Uranium Energy Corp.,Energy,Uranium,USA,510.75M,-,2.18,-5.63%,"2,163,096"
36,36,XXII,"22nd Century Group, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,503.92M,-,3.08,-0.32%,"1,640,324"
37,37,TGB,Taseko Mines Limited,Basic Materials,Other Industrial Metals & Mining,Canada,491.80M,35.31,1.73,-5.46%,"2,132,463"
38,38,SMTS,Sierra Metals Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,446.16M,16.15,2.73,-1.80%,"347,665"
39,39,BHB,Bar Harbor Bankshares,Financial,Banks - Regional,USA,431.26M,12.56,29.08,-0.58%,"14,120"
40,40,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,427.84M,8.22,8.43,-2.20%,"64,822"
41,41,REPX,"Riley Exploration Permian, Inc.",Energy,Oil & Gas E&P,USA,418.20M,-,20.53,-0.53%,"50,115"
42,42,LCTX,"Lineage Cell Therapeutics, Inc.",Healthcare,Biotechnology,USA,414.91M,-,2.54,-3.79%,"698,465"
43,43,RVP,"Retractable Technologies, Inc.",Healthcare,Medical Instruments & Supplies,USA,382.16M,8.69,11.31,0.98%,"197,098"
44,44,ELLO,Ellomay Capital Ltd.,Utilities,Utilities - Renewable,Israel,370.21M,-,28.90,-1.06%,766
45,45,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,365.41M,22.19,18.71,-0.16%,"45,975"
46,46,BRG,"Bluerock Residential Growth REIT, Inc.",Real Estate,REIT - Residential,USA,364.50M,-,12.53,2.70%,"433,975"
47,47,UAVS,"AgEagle Aerial Systems, Inc.",Industrials,Aerospace & Defense,USA,350.03M,-,3.78,-5.74%,"2,491,333"
48,48,EVI,"EVI Industries, Inc.",Industrials,Industrial Distribution,USA,348.84M,254.46,28.50,-4.75%,"30,159"
49,49,CVM,CEL-SCI Corporation,Healthcare,Biotechnology,USA,348.65M,-,7.96,2.84%,"894,998"
50,50,KLR,"Kaleyra, Inc.",Communication Services,Telecom Services,Italy,339.20M,-,10.63,-2.57%,"183,889"
51,51,MTA,Metalla Royalty & Streaming Ltd.,Basic Materials,Other Precious Metals & Mining,Canada,329.69M,-,7.90,0.00%,"114,724"
52,52,LEU,Centrus Energy Corp.,Energy,Uranium,USA,322.71M,-,23.25,-5.56%,"43,421"
53,53,RLGT,"Radiant Logistics, Inc.",Industrials,Integrated Freight & Logistics,USA,320.42M,19.08,6.20,0.32%,"106,168"
54,54,PLM,PolyMet Mining Corp.,Basic Materials,Other Industrial Metals & Mining,USA,318.99M,-,3.10,-5.49%,"136,294"
55,55,GSS,Golden Star Resources Ltd.,Basic Materials,Gold,Canada,317.88M,52.82,2.06,-1.90%,"236,315"
