_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,1,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2420.23B,32.94,146.77,-1.49%,"99,794,962"
2,2,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2131.80B,39.00,286.54,-0.87%,"31,724,861"
3,3,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1878.12B,36.46,2735.93,-2.04%,"2,027,498"
4,4,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1819.58B,69.01,3626.39,-1.98%,"4,078,949"
5,5,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1738.34B,33.36,2638.00,-1.59%,"2,633,299"
6,6,FB,"Facebook, Inc.",Communication Services,Internet Content & Information,USA,990.45B,31.51,367.81,-1.25%,"15,069,924"
7,7,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,621.14B,649.98,644.78,-1.95%,"32,667,497"
8,8,NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,479.55B,91.08,192.08,-0.45%,"24,647,230"
9,9,PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,USA,347.45B,68.46,300.48,-2.06%,"6,867,095"
10,10,ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,306.05B,55.14,745.60,-1.13%,"867,249"
11,11,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,293.52B,53.45,618.28,-0.41%,"1,523,137"
12,12,CMCSA,Comcast Corporation,Communication Services,Entertainment,USA,266.41B,23.18,58.56,-0.24%,"10,292,428"
13,13,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,230.05B,22.94,55.28,-0.34%,"14,628,103"
14,14,NFLX,"Netflix, Inc.",Communication Services,Entertainment,USA,228.46B,54.89,518.91,0.47%,"2,748,254"
15,15,INTC,Intel Corporation,Technology,Semiconductors,USA,226.73B,11.95,53.18,-2.08%,"39,628,454"
16,16,PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,215.53B,26.72,157.94,0.55%,"4,005,094"
17,17,AVGO,Broadcom Inc.,Technology,Semiconductors,USA,192.27B,44.20,475.36,-1.43%,"1,420,719"
18,18,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,184.98B,39.90,424.34,0.26%,"1,648,669"
19,19,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,USA,181.51B,66.55,144.82,-0.10%,"4,087,544"
20,20,AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom,177.28B,38.00,57.46,1.18%,"15,255,515"
21,21,TXN,Texas Instruments Incorporated,Technology,Semiconductors,USA,168.28B,25.82,185.13,-1.66%,"4,497,583"
22,22,HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,USA,162.38B,35.26,230.36,0.48%,"2,165,952"
23,23,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,USA,156.29B,20.19,140.93,-1.79%,"7,439,976"
24,24,CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,USA,155.03B,41.31,726.75,-0.40%,"646,621"
25,25,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,USA,144.56B,150.93,126.03,-0.02%,"5,831,386"
26,26,INTU,Intuit Inc.,Technology,Software - Application,USA,140.97B,66.95,522.91,-1.21%,"970,989"
27,27,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,138.89B,20.26,244.68,-0.16%,"2,153,672"
28,28,SNY,Sanofi,Healthcare,Drug Manufacturers - General,France,129.48B,9.04,51.60,-0.06%,"1,413,593"
29,29,MRNA,"Moderna, Inc.",Healthcare,Biotechnology,USA,122.32B,261.96,328.50,-2.19%,"17,172,249"
30,30,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,122.18B,28.12,134.90,-2.59%,"6,288,286"
31,31,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,115.49B,72.85,975.08,0.93%,"354,339"
32,32,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,109.48B,38.64,91.03,-0.86%,"67,840,192"
33,33,ZM,"Zoom Video Communications, Inc.",Communication Services,Telecom Services,USA,108.95B,126.83,367.54,-1.50%,"3,068,474"
34,34,PDD,Pinduoduo Inc.,Consumer Cyclical,Internet Retail,China,107.51B,-,79.53,-10.35%,"27,624,372"
35,35,JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,China,106.50B,12.84,64.77,-1.98%,"44,127,950"
36,36,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,USA,91.87B,132.86,2246.19,0.69%,"308,783"
37,37,MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,USA,90.15B,24.76,65.23,0.60%,"6,870,057"
38,38,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,88.19B,26.29,622.59,-2.78%,"1,478,734"
39,39,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,87.26B,36.17,207.89,0.79%,"2,069,658"
40,40,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,86.59B,-,141.58,-0.30%,"5,081,569"
41,41,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,USA,85.99B,334.61,68.93,0.26%,"5,790,270"
42,42,MU,"Micron Technology, Inc.",Technology,Semiconductors,USA,83.10B,20.49,74.22,-2.73%,"23,786,890"
43,43,MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,Argentina,77.66B,-,1580.00,-0.36%,"370,801"
44,44,FISV,"Fiserv, Inc.",Technology,Information Technology Services,USA,75.27B,89.73,114.68,2.99%,"8,201,586"
45,45,CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,USA,75.19B,39.72,211.92,0.71%,"1,057,969"
46,46,EQIX,"Equinix, Inc. (REIT)",Real Estate,REIT - Specialty,USA,74.27B,184.25,841.83,1.49%,"390,925"
47,47,CSX,CSX Corporation,Industrials,Railroads,USA,73.26B,21.95,32.38,-1.55%,"8,996,465"
48,48,ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,USA,69.70B,114.04,486.25,-1.07%,"517,455"
49,49,BNTX,BioNTech SE,Healthcare,Biotechnology,Germany,68.35B,53.06,284.00,-0.79%,"4,306,073"
50,50,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,66.92B,52.77,308.25,-1.71%,"1,036,692"
51,51,TEAM,Atlassian Corporation Plc,Technology,Software - Application,Australia,65.73B,-,264.97,-0.96%,"880,653"
52,52,ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,64.57B,28.35,84.05,-6.76%,"23,097,806"
53,53,NTES,"NetEase, Inc.",Communication Services,Internet Content & Information,China,64.42B,29.70,88.32,-1.21%,"10,638,591"
54,54,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,61.95B,16.44,581.01,0.56%,"468,270"
55,55,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,59.41B,38.80,162.59,-0.80%,"4,024,148"
56,56,DOCU,"DocuSign, Inc.",Technology,Software - Application,USA,58.75B,-,302.04,-1.22%,"1,711,562"
57,57,BIDU,"Baidu, Inc.",Communication Services,Internet Content & Information,China,57.69B,7.35,157.83,-2.80%,"12,944,338"
58,58,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,USA,57.68B,88.41,686.95,0.19%,"271,266"
59,59,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,USA,56.94B,-,257.84,-2.64%,"2,340,397"
60,60,WDAY,"Workday, Inc.",Technology,Software - Application,USA,56.38B,-,230.66,-3.33%,"7,703,027"
61,61,ROKU,"Roku, Inc.",Communication Services,Entertainment,USA,54.01B,563.64,459.37,-4.20%,"10,488,262"
62,62,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Netherlands,53.01B,134.71,194.25,-1.97%,"2,008,635"
63,63,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,51.34B,19.30,202.85,1.97%,"1,817,600"
64,64,BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,USA,50.43B,17.52,333.96,0.61%,"925,564"
65,65,LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,Canada,50.07B,72.68,391.43,-1.01%,"645,071"
66,66,KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,USA,49.86B,33.09,35.51,-1.50%,"5,939,222"
67,67,COIN,"Coinbase Global, Inc.",Technology,Software - Application,USA,49.31B,100.55,235.08,-4.22%,"5,604,080"
68,68,MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,USA,48.78B,35.12,95.18,-0.85%,"3,223,598"
