_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,1,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,682.30B,-,280.78,0.71%,"3,369,539"
2,2,BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,641.91B,6.40,422308.81,0.67%,"1,100"
3,3,TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,532.16B,29.78,113.54,-1.82%,"11,079,998"
4,4,V,Visa Inc.,Financial,Credit Services,USA,524.69B,60.00,250.93,0.27%,"6,938,690"
5,5,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,522.80B,22.02,186.07,-2.97%,"59,005,241"
6,6,JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,459.34B,10.10,151.45,-0.13%,"11,141,804"
7,7,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,449.89B,25.96,172.66,0.46%,"7,087,351"
8,8,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,396.44B,33.16,142.64,0.01%,"4,979,846"
9,9,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,USA,389.92B,27.41,415.10,0.38%,"2,617,181"
10,10,MA,Mastercard Incorporated,Financial,Credit Services,USA,375.86B,59.76,390.27,-0.64%,"2,754,831"
11,11,HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,341.50B,23.87,327.26,-1.18%,"2,887,624"
12,12,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USA,339.92B,25.91,140.85,0.41%,"7,043,765"
13,13,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,327.71B,12.71,37.98,-0.39%,"38,944,569"
14,14,DIS,The Walt Disney Company,Communication Services,Entertainment,USA,324.27B,-,179.50,0.43%,"6,667,027"
15,15,TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,Japan,286.63B,12.37,178.44,-0.59%,"152,635"
16,16,NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,USA,256.12B,46.23,164.57,-0.31%,"4,329,845"
17,17,ORCL,Oracle Corporation,Technology,Software - Infrastructure,USA,253.52B,19.20,87.80,-0.07%,"8,399,470"
18,18,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,USA,245.13B,-,57.83,-1.11%,"16,795,026"
19,19,KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,USA,244.55B,30.69,57.26,0.35%,"12,658,764"
20,20,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,USA,234.48B,25.27,42.10,0.69%,"32,455,017"
21,21,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,USA,232.96B,11.65,56.20,0.75%,"15,222,405"
22,22,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,USA,228.18B,36.48,243.58,0.15%,"2,104,264"
23,23,CRM,"salesforce.com, inc.",Technology,Software - Application,USA,225.52B,50.68,243.51,-1.65%,"6,211,019"
24,24,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,Switzerland,224.77B,23.07,91.32,0.40%,"1,400,105"
25,25,ACN,Accenture plc,Technology,Information Technology Services,Ireland,210.25B,35.75,319.89,0.29%,"1,615,129"
26,26,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,208.39B,33.53,119.81,0.24%,"5,611,850"
27,27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,207.20B,41.65,117.96,0.14%,"3,738,250"
28,28,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA,205.63B,39.36,290.60,0.14%,"1,723,866"
29,29,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,USA,205.38B,26.65,530.28,0.22%,"1,085,377"
30,30,T,AT&T Inc.,Communication Services,Telecom Services,USA,200.35B,-,28.20,0.07%,"34,094,046"
31,31,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,USA,194.55B,28.15,77.85,0.79%,"8,131,304"
32,32,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,193.90B,-,100.61,-0.34%,"8,130,230"
33,33,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,188.43B,11.97,45.14,0.29%,"22,065,749"
