_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,1,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2420.23B,32.94,146.77,-1.49%,"99,794,962"
2,2,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2131.80B,39.00,286.54,-0.87%,"31,724,861"
3,3,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1878.12B,36.46,2735.93,-2.04%,"2,027,498"
4,4,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1819.58B,69.01,3626.39,-1.98%,"4,078,949"
5,5,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1738.34B,33.36,2638.00,-1.59%,"2,633,299"
6,6,FB,"Facebook, Inc.",Communication Services,Internet Content & Information,USA,990.45B,31.51,367.81,-1.25%,"15,069,924"
7,7,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,682.30B,-,280.78,0.71%,"3,369,539"
8,8,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,621.14B,649.98,644.78,-1.95%,"32,667,497"
9,9,V,Visa Inc.,Financial,Credit Services,USA,524.69B,60.00,250.93,0.27%,"6,938,690"
10,10,NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,479.55B,91.08,192.08,-0.45%,"24,647,230"
11,11,JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,459.34B,10.10,151.45,-0.13%,"11,141,804"
12,12,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,449.89B,25.96,172.66,0.46%,"7,087,351"
13,13,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,396.44B,33.16,142.64,0.01%,"4,979,846"
14,14,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,USA,389.92B,27.41,415.10,0.38%,"2,617,181"
15,15,MA,Mastercard Incorporated,Financial,Credit Services,USA,375.86B,59.76,390.27,-0.64%,"2,754,831"
16,16,PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,USA,347.45B,68.46,300.48,-2.06%,"6,867,095"
17,17,HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,341.50B,23.87,327.26,-1.18%,"2,887,624"
18,18,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USA,339.92B,25.91,140.85,0.41%,"7,043,765"
19,19,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,327.71B,12.71,37.98,-0.39%,"38,944,569"
20,20,DIS,The Walt Disney Company,Communication Services,Entertainment,USA,324.27B,-,179.50,0.43%,"6,667,027"
21,21,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,293.52B,53.45,618.28,-0.41%,"1,523,137"
22,22,CMCSA,Comcast Corporation,Communication Services,Entertainment,USA,266.41B,23.18,58.56,-0.24%,"10,292,428"
23,23,NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,USA,256.12B,46.23,164.57,-0.31%,"4,329,845"
24,24,ORCL,Oracle Corporation,Technology,Software - Infrastructure,USA,253.52B,19.20,87.80,-0.07%,"8,399,470"
25,25,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,USA,245.13B,-,57.83,-1.11%,"16,795,026"
26,26,KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,USA,244.55B,30.69,57.26,0.35%,"12,658,764"
27,27,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,USA,234.48B,25.27,42.10,0.69%,"32,455,017"
28,28,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,USA,232.96B,11.65,56.20,0.75%,"15,222,405"
29,29,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,230.05B,22.94,55.28,-0.34%,"14,628,103"
30,30,NFLX,"Netflix, Inc.",Communication Services,Entertainment,USA,228.46B,54.89,518.91,0.47%,"2,748,254"
31,31,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,USA,228.18B,36.48,243.58,0.15%,"2,104,264"
32,32,INTC,Intel Corporation,Technology,Semiconductors,USA,226.73B,11.95,53.18,-2.08%,"39,628,454"
33,33,CRM,"salesforce.com, inc.",Technology,Software - Application,USA,225.52B,50.68,243.51,-1.65%,"6,211,019"
34,34,PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,215.53B,26.72,157.94,0.55%,"4,005,094"
35,35,ACN,Accenture plc,Technology,Information Technology Services,Ireland,210.25B,35.75,319.89,0.29%,"1,615,129"
36,36,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,208.39B,33.53,119.81,0.24%,"5,611,850"
37,37,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,207.20B,41.65,117.96,0.14%,"3,738,250"
38,38,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA,205.63B,39.36,290.60,0.14%,"1,723,866"
39,39,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,USA,205.38B,26.65,530.28,0.22%,"1,085,377"
40,40,T,AT&T Inc.,Communication Services,Telecom Services,USA,200.35B,-,28.20,0.07%,"34,094,046"
41,41,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,USA,194.55B,28.15,77.85,0.79%,"8,131,304"
42,42,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,193.90B,-,100.61,-0.34%,"8,130,230"
43,43,AVGO,Broadcom Inc.,Technology,Semiconductors,USA,192.27B,44.20,475.36,-1.43%,"1,420,719"
44,44,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,188.43B,11.97,45.14,0.29%,"22,065,749"
45,45,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,184.98B,39.90,424.34,0.26%,"1,648,669"
46,46,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,USA,181.51B,66.55,144.82,-0.10%,"4,087,544"
47,47,MS,Morgan Stanley,Financial,Capital Markets,USA,181.45B,12.84,96.48,-0.06%,"8,968,679"
48,48,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,USA,180.57B,35.82,246.35,0.97%,"3,109,782"
49,49,MDT,Medtronic plc,Healthcare,Medical Devices,Ireland,173.06B,48.94,130.22,1.68%,"4,137,694"
50,50,UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,USA,171.20B,33.07,195.19,-6.99%,"13,677,594"
51,51,TXN,Texas Instruments Incorporated,Technology,Semiconductors,USA,168.28B,25.82,185.13,-1.66%,"4,497,583"
52,52,HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,USA,162.38B,35.26,230.36,0.48%,"2,165,952"
53,53,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,USA,156.29B,20.19,140.93,-1.79%,"7,439,976"
54,54,CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,USA,155.03B,41.31,726.75,-0.40%,"646,621"
55,55,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,USA,153.77B,17.60,99.84,0.81%,"2,870,579"
56,56,LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,153.64B,54.40,298.85,0.13%,"1,546,910"
57,57,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,150.58B,36.06,77.86,1.24%,"7,581,267"
58,58,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,USA,149.86B,-,67.49,-0.30%,"10,701,703"
59,59,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,USA,144.56B,150.93,126.03,-0.02%,"5,831,386"
60,60,UNP,Union Pacific Corporation,Industrials,Railroads,USA,144.44B,24.81,218.03,-0.98%,"3,180,612"
61,61,C,Citigroup Inc.,Financial,Banks - Diversified,USA,140.98B,7.06,67.98,0.31%,"17,118,485"
62,62,INTU,Intuit Inc.,Technology,Software - Application,USA,140.97B,66.95,522.91,-1.21%,"970,989"
63,63,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,138.89B,20.26,244.68,-0.16%,"2,153,672"
64,64,AXP,American Express Company,Financial,Credit Services,USA,137.09B,28.37,172.94,0.19%,"7,920,501"
65,65,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,USA,134.02B,21.07,193.51,-2.14%,"4,090,483"
66,66,RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,USA,133.68B,-,88.22,2.64%,"8,413,911"
67,67,BLK,"BlackRock, Inc.",Financial,Asset Management,USA,131.14B,24.22,861.88,-1.10%,"472,822"
68,68,BA,The Boeing Company,Industrials,Aerospace & Defense,USA,129.60B,-,222.27,-1.59%,"8,685,581"
69,69,AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA,128.51B,66.64,286.88,0.80%,"1,225,764"
70,70,IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,126.98B,24.66,142.75,-0.01%,"3,120,097"
